"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Benton","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","30001","59.1724","Washington State"
"Benton","Washington State State Auditor","James Watkins","(Prefers Republican Party)","33356","66.1878","Washington State"
"Benton","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","17040","33.8122","Washington State"
"Benton","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","16050","31.3654","Washington State"
"Benton","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","35121","68.6346","Washington State"
"Benton","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","17393","33.7604","Washington State"
"Benton","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","34126","66.2396","Washington State"
"Benton","Washington State Superintendent of Public Instruction","Randy I. Dorn","","38753","100","Washington State"
"Benton","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","19384","38.7564","Washington State"
"Benton","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","30631","61.2436","Washington State"
"Benton","Legislative District 8 State Representative Pos. 1","Jay Clough","(Prefers Democratic Party)","15167","36.8265","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)","26018","63.1735","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 2","Larry Haler","(Prefers Republican Party)","29671","72.5452","Legislative District 8"
"Benton","Legislative District 8 State Representative Pos. 2","Richard Reuther","(Prefers Democratic Party)","11229","27.4548","Legislative District 8"
"Benton","Legislative District 16 State Senator","Mike Hewitt","(Prefers Republican Party)","7375","73.4342","Legislative District 16"
"Benton","Legislative District 16 State Senator","Scott Nettles","(Prefers Democratic Party)","2668","26.5658","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)","4812","52.2703","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 1","Mary Ruth Edwards","(Prefers Republican Party)","4394","47.7297","Legislative District 16"
"Benton","Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","8115","100","Legislative District 16"
"Benton","Benton County Commissioner District #1","Jerome Delvin","(Prefers Republican Party)","30390","64.2345","Benton County"
"Benton","Benton County Commissioner District #1","Rick Jansons","(Prefers Republican Party)","16921","35.7655","Benton County"
"Benton","Benton County Commissioner District #3","James R Beaver","(Prefers Republican Party)","35816","77.8592","Benton County"
"Benton","Benton County Commissioner District #3","Edgar Cousineau","(Prefers Republican Party)","10185","22.1408","Benton County"
"Benton","Benton County PUD Commissioner Pos. 3","Robert Bertsch","","13617","48.9239","Benton County PUD"
"Benton","Benton County PUD Commissioner Pos. 3","Barry Bush","","14216","51.0761","Benton County PUD"
"Benton","Supreme Court Justice Position 2","Susan Owens","","37420","100","Supreme Court"
"Benton","Supreme Court Justice Position 8","Steve Gonzalez","","36970","100","Supreme Court"
"Benton","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","18440","41.7885","Supreme Court"
"Benton","Supreme Court Justice Position 9","Richard B. Sanders","","25687","58.2115","Supreme Court"
"Chelan","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","16325","73.5625","Statewide"
"Chelan","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","5867","26.4375","Statewide"
"Chelan","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","12161","54.2587","Statewide"
"Chelan","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","10252","45.7413","Statewide"
"Chelan","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","9361","41.039","Statewide"
"Chelan","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","13449","58.961","Statewide"
"Chelan","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","11849","51.8715","Statewide"
"Chelan","Statewide Initiative Measure No. 502 Concerns marijuana","No","","10994","48.1285","Statewide"
"Chelan","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","14680","70.0382","Statewide"
"Chelan","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","6280","29.9618","Statewide"
"Chelan","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","8914","41.7987","Statewide"
"Chelan","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","12412","58.2013","Statewide"
"Chelan","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","12886","63.666","Washington State"
"Chelan","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","7354","36.334","Washington State"
"Chelan","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","12181","61.4333","Washington State"
"Chelan","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","7647","38.5667","Washington State"
"Chelan","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","9093","39.5916","United States"
"Chelan","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","13467","58.6363","United States"
"Chelan","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","222","0.9666","United States"
"Chelan","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","54","0.2351","United States"
"Chelan","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","92","0.4006","United States"
"Chelan","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","6","0.0261","United States"
"Chelan","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","15","0.0653","United States"
"Chelan","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","18","0.0784","United States"
"Chelan","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","10451","45.9667","United States"
"Chelan","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","12285","54.0333","United States"
"Chelan","Congressional District 8 U.S. Representative","Dave Reichert","(Prefers Republican Party)","14958","66.6607","Congressional District 8"
"Chelan","Congressional District 8 U.S. Representative","Karen Porterfield","(Prefers Democratic Party)","7481","33.3393","Congressional District 8"
"Chelan","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","8247","36.1219","Washington State"
"Chelan","Washington State Governor","Rob McKenna","(Prefers Republican Party)","14584","63.8781","Washington State"
"Chelan","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","8968","40.7766","Washington State"
"Chelan","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","13025","59.2234","Washington State"
"Chelan","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","14098","64.9019","Washington State"
"Chelan","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","7624","35.0981","Washington State"
"Chelan","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","9477","43.9014","Washington State"
"Chelan","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","12110","56.0986","Washington State"
"Chelan","Washington State State Auditor","James Watkins","(Prefers Republican Party)","13568","63.4285","Washington State"
"Chelan","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","7823","36.5715","Washington State"
"Chelan","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","8517","39.0044","Washington State"
"Chelan","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","13319","60.9956","Washington State"
"Chelan","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","9188","42.2456","Washington State"
"Chelan","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","12561","57.7544","Washington State"
"Chelan","Washington State Superintendent of Public Instruction","Randy I. Dorn","","15966","100","Washington State"
"Chelan","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","8913","41.9672","Washington State"
"Chelan","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","12325","58.0328","Washington State"
"Chelan","Legislative District 12 State Senator","Linda Evans Parlette","(Prefers Gop Party)","17689","100","Legislative District 12"
"Chelan","Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","13041","64.0395","Legislative District 12"
"Chelan","Legislative District 12 State Representative Pos. 1","Stan Morse","(Prefers Republican Party)","7323","35.9605","Legislative District 12"
"Chelan","Legislative District 12 State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)","9824","47.3651","Legislative District 12"
"Chelan","Legislative District 12 State Representative Pos. 2","Brad Hawkins","(Prefers Republican Party)","10917","52.6349","Legislative District 12"
"Chelan","CHELAN COUNTY ASSESSOR","Deanna Walter","(Prefers Republican Party)","13929","75.8","CHELAN COUNTY"
"Chelan","CHELAN COUNTY ASSESSOR","DeWayne G. Crater","(Prefers Republican Party)","4447","24.2","CHELAN COUNTY"
"Chelan","CHELAN COUNTY COUNTY COMMISSIONER 1","Ron Walter","(Prefers Republican Party)","12254","66.3993","CHELAN COUNTY"
"Chelan","CHELAN COUNTY COUNTY COMMISSIONER 1","Gary Schoessler","(Prefers Republican Party)","6201","33.6007","CHELAN COUNTY"
"Chelan","CHELAN COUNTY COUNTY COMMISSIONER 3","Doug England","(Prefers Republican Party)","13162","61.3356","CHELAN COUNTY"
"Chelan","CHELAN COUNTY COUNTY COMMISSIONER 3","Mary T. Signorelli","(Prefers Democrat Party)","8297","38.6644","CHELAN COUNTY"
"Chelan","Supreme Court Justice Position 2","Susan Owens","","14801","100","Supreme Court"
"Chelan","Supreme Court Justice Position 8","Steve Gonzalez","","14536","100","Supreme Court"
"Chelan","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","7707","43.7599","Supreme Court"
"Chelan","Supreme Court Justice Position 9","Richard B. Sanders","","9905","56.2401","Supreme Court"
"Chelan","Court of Appeals, Division 3, District 3 Judge Position 2","Teresa C. Kulik","","14514","100","Court of Appeals, Division 3, District 3"
"Chelan","Chelan Superior Court Judge Position 1","Lesley A. Allan","","15133","100","Chelan Superior Court"
"Chelan","Chelan Superior Court Judge Position 2","T.W "Chip" Small","","15500","100","Chelan Superior Court"
"Chelan","Chelan Superior Court Judge Position 3","Alicia H. Nakata","","10707","51.1611","Chelan Superior Court"
"Chelan","Chelan Superior Court Judge Position 3","Travis Brandt","","10221","48.8389","Chelan Superior Court"
"Chelan","FIRE DIST 7 CHELAN Chelan County Fire Protection District No. 7 - Proposition No. 1 Authorizing Increase in Property Taxes over 1% Limitation","Yes","","864","41.7391","FIRE DIST 7 CHELAN"
"Chelan","FIRE DIST 7 CHELAN Chelan County Fire Protection District No. 7 - Proposition No. 1 Authorizing Increase in Property Taxes over 1% Limitation","No","","1206","58.2609","FIRE DIST 7 CHELAN"
"Chelan","Fire District 3 Annex Chelan County Fire District No. 3 Annexation of City of Leavenworth into Chelan County Fire Distric No. 3 Boundaries","Yes","","1541","85.754","Fire District 3 Annex"
"Chelan","Fire District 3 Annex Chelan County Fire District No. 3 Annexation of City of Leavenworth into Chelan County Fire Distric No. 3 Boundaries","No","","256","14.246","Fire District 3 Annex"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER 2","Randy Smith","","14859","100","PUD ALL"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER A","Carnan Bergren","","14758","100","PUD ALL"
"Clallam","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","17912","69.8923","Statewide"
"Clallam","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","7716","30.1077","Statewide"
"Clallam","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","14108","54.7841","Statewide"
"Clallam","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","11644","45.2159","Statewide"
"Clallam","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","12241","46.6519","Statewide"
"Clallam","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","13998","53.3481","Statewide"
"Clallam","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","14614","55.4232","Statewide"
"Clallam","Statewide Initiative Measure No. 502 Concerns marijuana","No","","11754","44.5768","Statewide"
"Clallam","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","15212","63.959","Statewide"
"Clallam","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","8572","36.041","Statewide"
"Clallam","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","9451","39.0199","Statewide"
"Clallam","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","14770","60.9801","Statewide"
"Clallam","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","14774","62.9136","Washington State"
"Clallam","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","8709","37.0864","Washington State"
"Clallam","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","14084","60.8275","Washington State"
"Clallam","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","9070","39.1725","Washington State"
