"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Ferry","Washington State Superintendent of Public Instruction","Randy I. Dorn","","2075","100","Washington State"
"Ferry","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","1205","41.1263","Washington State"
"Ferry","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","1725","58.8737","Washington State"
"Ferry","Legislative District 7 State Representative Pos. 1","Shelly Short","(Prefers Republican Party)","2457","100","Legislative District 7"
"Ferry","Legislative District 7 State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)","2138","76.796","Legislative District 7"
"Ferry","Legislative District 7 State Representative Pos. 2","Robert (Bob) Wilson","(Prefers Republican Party)","646","23.204","Legislative District 7"
"Ferry","FERRY COUNTY COUNTY COMMISSIONER #1","Brad L. Miller","(Prefers Republican Party)","1595","54.642","FERRY COUNTY"
"Ferry","FERRY COUNTY COUNTY COMMISSIONER #1","JOHNNA EXNER","(Prefers REPUBLICAN Party)","1324","45.358","FERRY COUNTY"
"Ferry","FERRY COUNTY COUNTY COMMISSIONER #3","Robert L (Bob) Heath","(Prefers Demo Party)","1542","49.3756","FERRY COUNTY"
"Ferry","FERRY COUNTY COUNTY COMMISSIONER #3","Mike Blankenship","(Prefers Republican Party)","1581","50.6244","FERRY COUNTY"
"Ferry","Supreme Court Justice Position 2","Susan Owens","","1998","100","Supreme Court"
"Ferry","Supreme Court Justice Position 8","Steve Gonzalez","","1940","100","Supreme Court"
"Ferry","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","1074","44.5458","Supreme Court"
"Ferry","Supreme Court Justice Position 9","Richard B. Sanders","","1337","55.4542","Supreme Court"
"Ferry","Court of Appeals, Division 3, District 1 Judge Position 1","Laurel Siddoway","","1910","100","Court of Appeals, Division 3, District 1"
"Ferry","Ferry, Pend Oreille, Stevens Superior Court Judge Position 1","Patrick A. Monasmith","","1978","100","Ferry, Pend Oreille, Stevens Superior Court"
"Ferry","Ferry, Pend Oreille, Stevens Superior Court Judge Position 2","Allen Nielson","","2150","100","Ferry, Pend Oreille, Stevens Superior Court"
"Ferry","PUD (COUNTYWIDE) PUBLIC UTILITY COMMISSIONER #2","Dan Fagerlie","","1575","55.5556","PUD (COUNTYWIDE)"
"Ferry","PUD (COUNTYWIDE) PUBLIC UTILITY COMMISSIONER #2","Nathan Davis","","1260","44.4444","PUD (COUNTYWIDE)"
"Franklin","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","9192","73.7662","Statewide"
"Franklin","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","3269","26.2338","Statewide"
"Franklin","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","6608","52.6912","Statewide"
"Franklin","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","5933","47.3088","Statewide"
"Franklin","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","3732","29.4322","Statewide"
"Franklin","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","8948","70.5678","Statewide"
"Franklin","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","4782","37.6476","Statewide"
"Franklin","Statewide Initiative Measure No. 502 Concerns marijuana","No","","7920","62.3524","Statewide"
"Franklin","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","7687","64.7163","Statewide"
"Franklin","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","4191","35.2837","Statewide"
"Franklin","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","4465","36.9589","Statewide"
"Franklin","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","7616","63.0411","Statewide"
"Franklin","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","8206","69.7552","Washington State"
"Franklin","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","3558","30.2448","Washington State"
"Franklin","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","7695","66.948","Washington State"
"Franklin","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","3799","33.052","Washington State"
"Franklin","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","4366","34.12","United States"
"Franklin","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","8173","63.8715","United States"
"Franklin","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","146","1.141","United States"
"Franklin","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","41","0.3204","United States"
"Franklin","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","44","0.3439","United States"
"Franklin","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","5","0.0391","United States"
"Franklin","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","4","0.0313","United States"
"Franklin","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","17","0.1329","United States"
"Franklin","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","5070","39.9527","United States"
"Franklin","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","7620","60.0473","United States"
"Franklin","Congressional District 4 U.S. Representative","Doc Hastings","(Prefers Republican Party)","8763","69.4759","Congressional District 4"
"Franklin","Congressional District 4 U.S. Representative","Mary Baechler","(Prefers Democratic Party)","3850","30.5241","Congressional District 4"
"Franklin","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","4294","33.8938","Washington State"
"Franklin","Washington State Governor","Rob McKenna","(Prefers Republican Party)","8375","66.1062","Washington State"
"Franklin","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","4893","39.3739","Washington State"
"Franklin","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","7534","60.6261","Washington State"
"Franklin","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","8362","67.8569","Washington State"
"Franklin","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","3961","32.1431","Washington State"
"Franklin","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","4896","39.8924","Washington State"
"Franklin","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","7377","60.1076","Washington State"
"Franklin","Washington State State Auditor","James Watkins","(Prefers Republican Party)","8114","66.4102","Washington State"
"Franklin","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","4104","33.5898","Washington State"
"Franklin","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","3981","32.1749","Washington State"
"Franklin","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","8392","67.8251","Washington State"
"Franklin","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","4122","33.0819","Washington State"
"Franklin","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","8338","66.9181","Washington State"
"Franklin","Washington State Superintendent of Public Instruction","Randy I. Dorn","","9219","100","Washington State"
"Franklin","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","4649","38.2539","Washington State"
"Franklin","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","7504","61.7461","Washington State"
"Franklin","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","7175","100","Legislative District 9"
"Franklin","Legislative District 9 State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)","7298","100","Legislative District 9"
"Franklin","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican  Party)","7331","100","Legislative District 9"
"Franklin","Legislative District 16 State Senator","Mike Hewitt","(Prefers Republican Party)","1833","57.4608","Legislative District 16"
"Franklin","Legislative District 16 State Senator","Scott Nettles","(Prefers Democratic Party)","1357","42.5392","Legislative District 16"
"Franklin","Legislative District 16 State Representative Pos. 1","Maureen Walsh","(Prefers Republican Party)","1659","59.9783","Legislative District 16"
"Franklin","Legislative District 16 State Representative Pos. 1","Mary Ruth Edwards","(Prefers Republican Party)","1107","40.0217","Legislative District 16"
"Franklin","Legislative District 16 State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)","2439","100","Legislative District 16"
"Franklin","County of Franklin Commissioner #1","Brad Peck","(Prefers Republican Party)","7232","65.8053","County of Franklin"
"Franklin","County of Franklin Commissioner #1","Mark Faith","(Prefers Republican Party)","3758","34.1947","County of Franklin"
"Franklin","County of Franklin Commissioner #2","Bob Koch","(Prefers Republican Party)","6612","60.378","County of Franklin"
"Franklin","County of Franklin Commissioner #2","Al Yenney","(Prefers Republican Party)","4339","39.622","County of Franklin"
"Franklin","Supreme Court Justice Position 2","Susan Owens","","9308","100","Supreme Court"
"Franklin","Supreme Court Justice Position 8","Steve Gonzalez","","9114","100","Supreme Court"
"Franklin","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","4241","39.5542","Supreme Court"
"Franklin","Supreme Court Justice Position 9","Richard B. Sanders","","6481","60.4458","Supreme Court"
"Franklin","Fire District 3 Proposition No. 1 Proposition Authorizing the Imposition of An Emergency Medical Service Tax Levy","Yes","","858","39.1781","Fire District 3"
"Franklin","Fire District 3 Proposition No. 1 Proposition Authorizing the Imposition of An Emergency Medical Service Tax Levy","No","","1332","60.8219","Fire District 3"
"Franklin","Fire District 4 Proposition No. 1 Proposition Authorizing the Increase of Existing Property Tax Levies","Yes","","197","48.5222","Fire District 4"
"Franklin","Fire District 4 Proposition No. 1 Proposition Authorizing the Increase of Existing Property Tax Levies","No","","209","51.4778","Fire District 4"
"Franklin","Public Utility District Commissioner #3","Stu Nelson","","5973","55.6508","Public Utility District"
"Franklin","Public Utility District Commissioner #3"," Tom Larsen","","4760","44.3492","Public Utility District"
"Garfield","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","882","76.2976","Statewide"
"Garfield","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","274","23.7024","Statewide"
"Garfield","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","481","41.006","Statewide"
"Garfield","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","692","58.994","Statewide"
"Garfield","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","337","27.9668","Statewide"
"Garfield","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","868","72.0332","Statewide"
"Garfield","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","454","37.4587","Statewide"
"Garfield","Statewide Initiative Measure No. 502 Concerns marijuana","No","","758","62.5413","Statewide"
"Garfield","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","658","60.7572","Statewide"
"Garfield","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","425","39.2428","Statewide"
"Garfield","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","366","32.7663","Statewide"
"Garfield","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","751","67.2337","Statewide"
"Garfield","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","774","72.3364","Washington State"
"Garfield","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","296","27.6636","Washington State"
"Garfield","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","687","66.5698","Washington State"
"Garfield","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","345","33.4302","Washington State"
"Garfield","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","317","25.9836","United States"
"Garfield","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","878","71.9672","United States"
"Garfield","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","15","1.2295","United States"
"Garfield","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","2","0.1639","United States"
"Garfield","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","3","0.2459","United States"
"Garfield","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","1","0.082","United States"
"Garfield","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","3","0.2459","United States"
"Garfield","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","1","0.082","United States"
"Garfield","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","426","35.8586","United States"
"Garfield","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","762","64.1414","United States"
"Garfield","Congressional District 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","902","75.6077","Congressional District 5"
"Garfield","Congressional District 5 U.S. Representative","Rich Cowan","(Prefers Democratic Party)","291","24.3923","Congressional District 5"
"Garfield","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","312","26.087","Washington State"
"Garfield","Washington State Governor","Rob McKenna","(Prefers Republican Party)","884","73.913","Washington State"
"Garfield","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","424","37.193","Washington State"
"Garfield","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","716","62.807","Washington State"
"Garfield","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","831","73.5398","Washington State"
"Garfield","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","299","26.4602","Washington State"
"Garfield","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","383","34.5045","Washington State"
"Garfield","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","727","65.4955","Washington State"
"Garfield","Washington State State Auditor","James Watkins","(Prefers Republican Party)","785","71.2988","Washington State"
"Garfield","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","316","28.7012","Washington State"
"Garfield","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","350","31.1665","Washington State"
"Garfield","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","773","68.8335","Washington State"
"Garfield","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","406","35.9929","Washington State"
"Garfield","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","722","64.0071","Washington State"
"Garfield","Washington State Superintendent of Public Instruction","Randy I. Dorn","","877","100","Washington State"
"Garfield","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","342","31.3187","Washington State"
"Garfield","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","750","68.6813","Washington State"
"Garfield","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers G.O.P. Party)","960","100","Legislative District 9"
"Garfield","Legislative District 9 State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)","975","100","Legislative District 9"
"Garfield","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican  Party)","976","100","Legislative District 9"
"Garfield","COUNTY WIDE DISTRICT 01 COUNTY ASSESSOR","Laura L. Smith","(Prefers Republican Party)","964","100","COUNTY WIDE DISTRICT 01"
"Garfield","COUNTY WIDE DISTRICT 01 COUNTY COMMISSIONER 1","Robert K. Johnson","(Prefers Republican Party)","1002","100","COUNTY WIDE DISTRICT 01"
"Garfield","COUNTY WIDE DISTRICT 01 COUNTY COMMISSIONER 2","Wynne McCabe","(States No Party Preference)","793","68.7771","COUNTY WIDE DISTRICT 01"
"Garfield","COUNTY WIDE DISTRICT 01 COUNTY COMMISSIONER 2","David Ledgerwood","(States No Party Preference)","360","31.2229","COUNTY WIDE DISTRICT 01"
"Garfield","Supreme Court Justice Position 2","Susan Owens","","833","100","Supreme Court"
"Garfield","Supreme Court Justice Position 8","Steve Gonzalez","","810","100","Supreme Court"
"Garfield","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","362","39.8678","Supreme Court"
"Garfield","Supreme Court Justice Position 9","Richard B. Sanders","","546","60.1322","Supreme Court"
"Garfield","Asotin, Columbia, Garfield Superior Court Judge Position 1","William D. (Bill) Acey","","1003","100","Asotin, Columbia, Garfield Superior Court"
"Grant","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","15419","75.2624","Statewide"
"Grant","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","5068","24.7376","Statewide"
"Grant","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","10573","51.1811","Statewide"
"Grant","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","10085","48.8189","Statewide"
"Grant","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","6428","30.5136","Statewide"
"Grant","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","14638","69.4864","Statewide"
"Grant","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","9429","44.5942","Statewide"
"Grant","Statewide Initiative Measure No. 502 Concerns marijuana","No","","11715","55.4058","Statewide"
"Grant","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","12435","63.3824","Statewide"
"Grant","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","7184","36.6176","Statewide"
"Grant","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","6923","34.7907","Statewide"
"Grant","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","12976","65.2093","Statewide"
"Grant","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","13763","70.8119","Washington State"
"Grant","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","5673","29.1881","Washington State"
"Grant","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","12954","68.0107","Washington State"
"Grant","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","6093","31.9893","Washington State"
"Grant","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","6815","32.0932","United States"
"Grant","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","13912","65.5145","United States"
"Grant","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","285","1.3421","United States"
"Grant","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","83","0.3909","United States"
"Grant","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","86","0.405","United States"
"Grant","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","14","0.0659","United States"
"Grant","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","11","0.0518","United States"
"Grant","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","29","0.1366","United States"
"Grant","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","8163","38.5283","United States"
"Grant","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","13024","61.4717","United States"
"Grant","Congressional District 4 U.S. Representative","Doc Hastings","(Prefers Republican Party)","15120","72.1477","Congressional District 4"
"Grant","Congressional District 4 U.S. Representative","Mary Baechler","(Prefers Democratic Party)","5837","27.8523","Congressional District 4"
"Grant","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","6699","31.6618","Washington State"
"Grant","Washington State Governor","Rob McKenna","(Prefers Republican Party)","14459","68.3382","Washington State"
"Grant","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","7319","35.7845","Washington State"
"Grant","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","13134","64.2155","Washington State"
"Grant","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","14033","69.2133","Washington State"
"Grant","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","6242","30.7867","Washington State"
"Grant","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","7467","37.0424","Washington State"
"Grant","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","12691","62.9576","Washington State"
"Grant","Washington State State Auditor","James Watkins","(Prefers Republican Party)","13547","67.556","Washington State"
"Grant","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","6506","32.444","Washington State"
"Grant","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","6588","32.474","Washington State"
"Grant","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","13699","67.526","Washington State"
"Grant","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","7133","34.9794","Washington State"
"Grant","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","13259","65.0206","Washington State"
"Grant","Washington State Superintendent of Public Instruction","Randy I. Dorn","","14463","100","Washington State"
"Grant","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","7029","35.4695","Washington State"
"Grant","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","12788","64.5305","Washington State"
"Grant","Legislative District 12 State Senator","Linda Evans Parlette","(Prefers Gop Party)","1795","100","Legislative District 12"
"Grant","Legislative District 12 State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)","1256","63.3065","Legislative District 12"
"Grant","Legislative District 12 State Representative Pos. 1","Stan Morse","(Prefers Republican Party)","728","36.6935","Legislative District 12"
"Grant","Legislative District 12 State Representative Pos. 2","Mike Armstrong","(Prefers Republican Party)","941","46.2863","Legislative District 12"
"Grant","Legislative District 12 State Representative Pos. 2","Brad Hawkins","(Prefers Republican Party)","1092","53.7137","Legislative District 12"
"Grant","Legislative District 13 State Representative Pos. 1","Judith (Judy) Warnick","(Prefers Republican Party)","14723","100","Legislative District 13"
"Grant","Legislative District 13 State Representative Pos. 2","Matt Manweller ","(Prefers Republican Party)","12929","72.5696","Legislative District 13"
"Grant","Legislative District 13 State Representative Pos. 2","Kaj Selmann","(Prefers Democratic Party)","4887","27.4304","Legislative District 13"
"Grant","Grant COUNTY COMMISSIONER #01","Richard Stevens","(Prefers Republican Party)","15268","100","Grant"
"Grant","Grant COUNTY COMMISSIONER #02","Carolann Swartz","(Prefers Republican  Party)","11155","62.7637","Grant"
"Grant","Grant COUNTY COMMISSIONER #02","James Liebrecht","(Prefers Republican Party)","6618","37.2363","Grant"
"Grant","Supreme Court Justice Position 2","Susan Owens","","14132","100","Supreme Court"
"Grant","Supreme Court Justice Position 8","Steve Gonzalez","","13936","100","Supreme Court"
"Grant","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","7099","42.4353","Supreme Court"
"Grant","Supreme Court Justice Position 9","Richard B. Sanders","","9630","57.5647","Supreme Court"
"Grant","Grant Superior Court Judge Position 1","Evan E Sperline","","15159","100","Grant Superior Court"
"Grant","Grant Superior Court Judge Position 2","John Knodell","","14745","100","Grant Superior Court"
"Grant","Grant Superior Court Judge Position 3","John Antosz","","14347","100","Grant Superior Court"
"Grant","Coulee Area Park & Recreation District #3 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy","Yes","","381","55.8651","Coulee Area Park & Recreation District #3"
"Grant","Coulee Area Park & Recreation District #3 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy","No","","301","44.1349","Coulee Area Park & Recreation District #3"
"Grant","Wilson Creek Cemetery Dist #2 Grant County Cemetery District No. 2  Maintenance And Operation Levy","Yes Levy","","98","73.6842","Wilson Creek Cemetery Dist #2"
"Grant","Wilson Creek Cemetery Dist #2 Grant County Cemetery District No. 2  Maintenance And Operation Levy","No Levy","","35","26.3158","Wilson Creek Cemetery Dist #2"
"Grant","Grant County PUD All Commissioner Distict 1","Terry Brewer","","14192","100","Grant County PUD All"
"Grant","Grant County PUD All Commissioner Distict A","Tom Flint","","14189","100","Grant County PUD All"
"Grays Harbor","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","16521","71.0856","Statewide"
"Grays Harbor","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","6720","28.9144","Statewide"
"Grays Harbor","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","11735","49.3939","Statewide"
"Grays Harbor","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","12023","50.6061","Statewide"
"Grays Harbor","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","10926","45.4833","Statewide"
"Grays Harbor","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","13096","54.5167","Statewide"
"Grays Harbor","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","13043","54.0889","Statewide"
"Grays Harbor","Statewide Initiative Measure No. 502 Concerns marijuana","No","","11071","45.9111","Statewide"
"Grays Harbor","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","13339","60.8587","Statewide"
"Grays Harbor","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","8579","39.1413","Statewide"
"Grays Harbor","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","7468","33.1808","Statewide"
"Grays Harbor","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","15039","66.8192","Statewide"
"Grays Harbor","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","14512","67.288","Washington State"
"Grays Harbor","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","7055","32.712","Washington State"
"Grays Harbor","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","13377","64.8205","Washington State"
"Grays Harbor","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","7260","35.1795","Washington State"
"Grays Harbor","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","13448","55.8425","United States"
"Grays Harbor","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","10044","41.7075","United States"
"Grays Harbor","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","317","1.3163","United States"
"Grays Harbor","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","110","0.4568","United States"
"Grays Harbor","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","107","0.4443","United States"
"Grays Harbor","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","7","0.0291","United States"
"Grays Harbor","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","13","0.054","United States"
"Grays Harbor","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","36","0.1495","United States"
"Grays Harbor","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","14733","61.508","United States"
